ID;PROP_ID;COMP_ID;HenryConstantInWaterTemperature;HenryConstantInWaterInMoleFraction;HenryConstantInWaterInVolumeFraction
20594;6450;20597;-12321;-12321;-12321
20595;17084;20598;-12321;-12321;-12321
20596;10677;20599;-12321;-12321;-12321
20597;17124;20600;-12321;-12321;-12321
20598;17051;20601;-12321;-12321;-12321
20599;16150;20602;-12321;-12321;-12321
20600;13767;20603;-12321;-12321;-12321
20601;12586;20604;-12321;-12321;-12321
20602;16584;20605;-12321;-12321;-12321
20603;10555;20606;-12321;-12321;-12321
20604;16305;20607;-12321;-12321;-12321
20605;15828;20608;-12321;-12321;-12321
20606;16459;20609;-12321;-12321;-12321
20607;16303;20610;-12321;-12321;-12321
20608;16308;20611;-12321;-12321;-12321
20609;7136;20612;-12321;-12321;-12321
20610;7986;20613;-12321;-12321;-12321
20611;11023;20614;-12321;-12321;-12321
20612;13030;20615;-12321;-12321;-12321
20613;14217;20616;-12321;-12321;-12321
20614;16729;20617;-12321;-12321;-12321
20615;14679;20618;-12321;-12321;-12321
20616;16724;20619;-12321;-12321;-12321
20617;16318;20620;-12321;-12321;-12321
20618;18474;20621;-12321;-12321;-12321
20619;10775;20622;-12321;-12321;-12321
20620;12156;20623;-12321;-12321;-12321
20621;16967;20624;-12321;-12321;-12321
20622;17399;20625;-12321;-12321;-12321
20623;11971;20626;-12321;-12321;-12321
20624;17328;20627;-12321;-12321;-12321
20625;17116;20628;-12321;-12321;-12321
20626;16966;20629;-12321;-12321;-12321
20627;9916;20630;-12321;-12321;-12321
20628;16725;20631;-12321;-12321;-12321
20629;14147;20632;-12321;-12321;-12321
20630;8917;20633;-12321;-12321;-12321
20631;16959;20634;-12321;-12321;-12321
20632;11064;20635;-12321;-12321;-12321
20633;19271;20636;-12321;-12321;-12321
20634;17356;20637;-12321;-12321;-12321
20635;11566;20638;-12321;-12321;-12321
20636;11900;20639;-12321;-12321;-12321
20637;12752;20640;-12321;-12321;-12321
20638;14035;20641;-12321;-12321;-12321
20639;18757;20642;-12321;-12321;-12321
20640;12632;20643;-12321;-12321;-12321
20641;16765;20644;-12321;-12321;-12321
20642;17335;20645;-12321;-12321;-12321
20643;16740;20646;-12321;-12321;-12321
20644;16768;20647;-12321;-12321;-12321
20645;17252;20648;-12321;-12321;-12321
20646;12554;20649;-12321;-12321;-12321
20647;5942;20650;-12321;-12321;-12321
20648;13888;20651;-12321;-12321;-12321
20649;14120;20652;-12321;-12321;-12321
20650;17245;20653;-12321;-12321;-12321
20651;10839;20654;-12321;-12321;-12321
20652;11297;20655;-12321;-12321;-12321
20653;11296;20656;-12321;-12321;-12321
20654;12553;20657;-12321;-12321;-12321
20655;12552;20658;-12321;-12321;-12321
20656;12555;20659;-12321;-12321;-12321
20657;15129;20660;-12321;-12321;-12321
20658;15454;20661;-12321;-12321;-12321
20659;11732;20662;-12321;-12321;-12321
20660;17360;20663;-12321;-12321;-12321
20661;12023;20664;-12321;-12321;-12321
20662;17943;20665;-12321;-12321;-12321
20663;17231;20666;-12321;-12321;-12321
20664;16413;20667;-12321;-12321;-12321
20665;17327;20668;-12321;-12321;-12321
20666;17232;20669;-12321;-12321;-12321
20667;12273;20670;-12321;-12321;-12321
20668;17052;20671;-12321;-12321;-12321
20669;16727;20672;-12321;-12321;-12321
20670;17239;20673;-12321;-12321;-12321
20671;2651;20674;-12321;-12321;-12321
20672;5502;20675;-12321;-12321;-12321
20673;1961;20676;-12321;-12321;-12321
20674;18487;20677;-12321;-12321;-12321
20675;13212;20678;-12321;-12321;-12321
20676;17344;20679;-12321;-12321;-12321
20677;10037;20680;-12321;-12321;-12321
20678;17343;20681;-12321;-12321;-12321
20679;7725;20682;-12321;-12321;-12321
20680;10162;20683;-12321;-12321;-12321
20681;13890;20684;-12321;-12321;-12321
20682;11496;20685;-12321;-12321;-12321
20683;7978;20686;-12321;-12321;-12321
20684;10786;20687;-12321;-12321;-12321
20685;10559;20688;-12321;-12321;-12321
20686;17282;20689;-12321;-12321;-12321
20687;17410;20690;-12321;-12321;-12321
20688;14216;20691;-12321;-12321;-12321
20689;16734;20692;-12321;-12321;-12321
20690;16968;20693;-12321;-12321;-12321
20691;13342;20694;-12321;-12321;-12321
20692;10058;20695;-12321;-12321;-12321
20693;16963;20696;-12321;-12321;-12321
20694;19410;20697;-12321;-12321;-12321
20695;16719;20698;-12321;-12321;-12321
20696;10159;20699;-12321;-12321;-12321
20697;16971;20700;-12321;-12321;-12321
20698;17326;20701;-12321;-12321;-12321
20699;16733;20702;-12321;-12321;-12321
20700;17331;20703;-12321;-12321;-12321
20701;17347;20704;-12321;-12321;-12321
20702;15059;20705;-12321;-12321;-12321
20703;17233;20706;-12321;-12321;-12321
20704;16760;20707;-12321;-12321;-12321
20705;19423;20708;-12321;-12321;-12321
20706;10051;20709;-12321;-12321;-12321
20707;9217;20710;-12321;-12321;-12321
20708;9019;20711;-12321;-12321;-12321
20709;16723;20712;-12321;-12321;-12321
20710;16972;20713;-12321;-12321;-12321
20711;12090;20714;-12321;-12321;-12321
20712;11153;20715;-12321;-12321;-12321
20713;16741;20716;-12321;-12321;-12321
20714;14006;20717;-12321;-12321;-12321
20715;16739;20718;-12321;-12321;-12321
20716;16798;20719;-12321;-12321;-12321
20717;14339;20720;-12321;-12321;-12321
20718;11414;20721;-12321;-12321;-12321
20719;10156;20722;-12321;-12321;-12321
20720;16970;20723;-12321;-12321;-12321
20721;16965;20724;-12321;-12321;-12321
20722;10167;20725;-12321;-12321;-12321
20723;10932;20726;-12321;-12321;-12321
20724;9086;20727;-12321;-12321;-12321
20725;17287;20728;-12321;-12321;-12321
20726;9543;20729;-12321;-12321;-12321
20727;9423;20730;-12321;-12321;-12321
20728;18884;20731;-12321;-12321;-12321
20729;18137;20732;-12321;-12321;-12321
20730;10499;20733;-12321;-12321;-12321
20731;18138;20734;-12321;-12321;-12321
20732;7856;20735;-12321;-12321;-12321
20733;7904;20736;-12321;-12321;-12321
20734;14518;20737;-12321;-12321;-12321
20735;9214;20738;-12321;-12321;-12321
20736;13343;20739;-12321;-12321;-12321
20737;8993;20740;-12321;-12321;-12321
20738;16594;20741;-12321;-12321;-12321
20739;16761;20742;-12321;-12321;-12321
20740;13528;20743;-12321;-12321;-12321
20741;17352;20744;-12321;-12321;-12321
20742;17191;20745;-12321;-12321;-12321
20743;13671;20746;-12321;-12321;-12321
20744;17244;20747;-12321;-12321;-12321
20745;17059;20748;-12321;-12321;-12321
20746;10446;20749;-12321;-12321;-12321
20747;16991;20750;-12321;-12321;-12321
20748;10520;20751;-12321;-12321;-12321
20749;16728;20752;-12321;-12321;-12321
20750;13686;20753;-12321;-12321;-12321
20751;5680;20754;-12321;-12321;-12321
20752;9812;20755;-12321;-12321;-12321
20753;11022;20756;-12321;-12321;-12321
20754;6885;20757;-12321;-12321;-12321
20755;9445;20758;-12321;-12321;-12321
20756;8930;20759;-12321;-12321;-12321
20757;12468;20760;-12321;-12321;-12321
20758;9089;20761;-12321;-12321;-12321
20759;14213;20762;-12321;-12321;-12321
20760;19277;20763;-12321;-12321;-12321
20761;11021;20764;-12321;-12321;-12321
20762;10157;20765;-12321;-12321;-12321
20763;6884;20766;-12321;-12321;-12321
20764;11102;20767;-12321;-12321;-12321
20765;7128;20768;-12321;-12321;-12321
20766;6883;20769;-12321;-12321;-12321
20767;8250;20770;-12321;-12321;-12321
20768;11416;20771;-12321;-12321;-12321
20769;12966;20772;-12321;-12321;-12321
20770;10265;20773;-12321;-12321;-12321
20771;18131;20774;-12321;-12321;-12321
20772;19163;20775;-12321;-12321;-12321
20773;18133;20776;-12321;-12321;-12321
20774;18129;20777;-12321;-12321;-12321
20775;12965;20778;-12321;-12321;-12321
20776;13119;20779;-12321;-12321;-12321
20777;14418;20780;-12321;-12321;-12321
20778;14417;20781;-12321;-12321;-12321
20779;11819;20782;-12321;-12321;-12321
20780;19267;20783;-12321;-12321;-12321
20781;14419;20784;-12321;-12321;-12321
20782;18132;20785;-12321;-12321;-12321
20783;18130;20786;-12321;-12321;-12321
20784;12843;20787;-12321;-12321;-12321
20785;19162;20788;-12321;-12321;-12321
20786;10814;20789;-12321;-12321;-12321
20787;5880;20790;-12321;-12321;-12321
20788;12830;20791;-12321;-12321;-12321
20789;17111;20792;-12321;-12321;-12321
20790;11394;20793;-12321;-12321;-12321
20791;18134;20794;-12321;-12321;-12321
20792;18135;20795;-12321;-12321;-12321
20793;17112;20796;-12321;-12321;-12321
20794;10155;20797;-12321;-12321;-12321
20795;13091;20798;-12321;-12321;-12321
20796;16986;20799;-12321;-12321;-12321
20797;17246;20800;-12321;-12321;-12321
20798;12403;20801;-12321;-12321;-12321
20799;5819;20802;-12321;-12321;-12321
20800;17281;20803;-12321;-12321;-12321
20801;16722;20804;-12321;-12321;-12321
20802;12701;20805;-12321;-12321;-12321
20803;17221;20806;-12321;-12321;-12321
20804;11287;20807;-12321;-12321;-12321
20805;11291;20808;-12321;-12321;-12321
20806;5950;20809;-12321;-12321;-12321
20807;12278;20810;-12321;-12321;-12321
20808;16934;20811;-12321;-12321;-12321
20809;8230;20812;-12321;-12321;-12321
20810;5508;20813;-12321;-12321;-12321
20811;2654;20814;-12321;-12321;-12321
20812;6121;20815;-12321;-12321;-12321
20813;16979;20816;-12321;-12321;-12321
20814;17416;20817;-12321;-12321;-12321
20815;17578;20818;-12321;-12321;-12321
20816;16886;20819;-12321;-12321;-12321
20817;16887;20820;-12321;-12321;-12321
20818;16884;20821;-12321;-12321;-12321
20819;16885;20822;-12321;-12321;-12321
20820;7528;20823;-12321;-12321;-12321
20821;5818;20824;-12321;-12321;-12321
20822;14449;20825;-12321;-12321;-12321
20823;13625;20826;-12321;-12321;-12321
20824;10784;20827;-12321;-12321;-12321
20825;10702;20828;-12321;-12321;-12321
20826;17286;20829;-12321;-12321;-12321
20827;16912;20830;-12321;-12321;-12321
20828;13894;20831;-12321;-12321;-12321
20829;8637;20832;-12321;-12321;-12321
20830;10445;20833;-12321;-12321;-12321
20831;16223;20834;-12321;-12321;-12321
20832;17220;20835;-12321;-12321;-12321
20833;16456;20836;-12321;-12321;-12321
20834;10699;20837;-12321;-12321;-12321
20835;6326;20838;-12321;-12321;-12321
20836;14937;20839;-12321;-12321;-12321
20837;9333;20840;-12321;-12321;-12321
20838;17228;20841;-12321;-12321;-12321
20839;15216;20842;-12321;-12321;-12321
20840;17230;20843;-12321;-12321;-12321
20841;17229;20844;-12321;-12321;-12321
20842;10381;20845;-12321;-12321;-12321
20843;9607;20846;-12321;-12321;-12321
20844;13978;20847;-12321;-12321;-12321
20845;17190;20848;-12321;-12321;-12321
20846;15104;20849;-12321;-12321;-12321
20847;11714;20850;-12321;-12321;-12321
20848;11393;20851;-12321;-12321;-12321
20849;12524;20852;-12321;-12321;-12321
20850;9938;20853;-12321;-12321;-12321
20851;12523;20854;-12321;-12321;-12321
20852;12114;20855;-12321;-12321;-12321
20853;11135;20856;-12321;-12321;-12321
20854;11136;20857;-12321;-12321;-12321
20855;11299;20858;-12321;-12321;-12321
20856;11298;20859;-12321;-12321;-12321
20857;17283;20860;-12321;-12321;-12321
20858;17284;20861;-12321;-12321;-12321
20859;17304;20862;-12321;-12321;-12321
20860;17291;20863;-12321;-12321;-12321
20861;17292;20864;-12321;-12321;-12321
20862;17273;20865;-12321;-12321;-12321
20863;12107;20866;-12321;-12321;-12321
20864;16476;20867;-12321;-12321;-12321
20865;14954;20868;-12321;-12321;-12321
20866;16757;20869;-12321;-12321;-12321
20867;17085;20870;-12321;-12321;-12321
20868;17334;20871;-12321;-12321;-12321
20869;14924;20872;-12321;-12321;-12321
20870;16758;20873;-12321;-12321;-12321
20871;12132;20874;-12321;-12321;-12321
20872;13749;20875;-12321;-12321;-12321
20873;8234;20876;-12321;-12321;-12321
20874;11484;20877;-12321;-12321;-12321
20875;17288;20878;-12321;-12321;-12321
20876;17301;20879;-12321;-12321;-12321
20877;17409;20880;-12321;-12321;-12321
20878;17361;20881;-12321;-12321;-12321
20879;17302;20882;-12321;-12321;-12321
20880;8228;20883;-12321;-12321;-12321
20881;14677;20884;-12321;-12321;-12321
20882;17336;20885;-12321;-12321;-12321
20883;10456;20886;-12321;-12321;-12321
20884;15810;20887;-12321;-12321;-12321
20885;16732;20888;-12321;-12321;-12321
20886;10267;20889;-12321;-12321;-12321
20887;11990;20890;-12321;-12321;-12321
20888;5790;20891;-12321;-12321;-12321
20889;14407;20892;-12321;-12321;-12321
20890;8397;20893;-12321;-12321;-12321
20891;9979;20894;-12321;-12321;-12321
20892;14168;20895;-12321;-12321;-12321
20893;13387;20896;-12321;-12321;-12321
20894;17263;20897;-12321;-12321;-12321
20895;17293;20898;-12321;-12321;-12321
20896;17579;20899;-12321;-12321;-12321
20897;5973;20900;-12321;-12321;-12321
20898;6375;20901;-12321;-12321;-12321
20899;9976;20902;-12321;-12321;-12321
20900;15026;20903;-12321;-12321;-12321
20901;16380;20904;-12321;-12321;-12321
20902;17415;20905;-12321;-12321;-12321
20903;17398;20906;-12321;-12321;-12321
20904;16764;20907;-12321;-12321;-12321
20905;12344;20908;-12321;-12321;-12321
20906;6133;20909;-12321;-12321;-12321
20907;17118;20910;-12321;-12321;-12321
20908;17285;20911;-12321;-12321;-12321
20909;16763;20912;-12321;-12321;-12321
20910;16762;20913;-12321;-12321;-12321
20911;11627;20914;-12321;-12321;-12321
20912;17275;20915;-12321;-12321;-12321
20913;8650;20916;-12321;-12321;-12321
20914;10457;20917;-12321;-12321;-12321
20915;10374;20918;-12321;-12321;-12321
20916;17303;20919;-12321;-12321;-12321
20917;17295;20920;-12321;-12321;-12321
20918;9488;20921;-12321;-12321;-12321
20919;12557;20922;-12321;-12321;-12321
20920;11757;20923;-12321;-12321;-12321
20921;17668;20924;-12321;-12321;-12321
20922;11293;20925;-12321;-12321;-12321
20923;11756;20926;-12321;-12321;-12321
20924;12556;20927;-12321;-12321;-12321
20925;17289;20928;-12321;-12321;-12321
20926;6496;20929;-12321;-12321;-12321
20927;13660;20930;-12321;-12321;-12321
20928;9813;20931;-12321;-12321;-12321
20929;14855;20932;-12321;-12321;-12321
20930;13837;20933;-12321;-12321;-12321
20931;19061;20934;-12321;-12321;-12321
20932;17306;20935;-12321;-12321;-12321
20933;7268;20936;-12321;-12321;-12321
20934;12291;20937;-12321;-12321;-12321
20935;7944;20938;-12321;-12321;-12321
20936;11041;20939;-12321;-12321;-12321
20937;10299;20940;-12321;-12321;-12321
20938;18173;20941;-12321;-12321;-12321
20939;16702;20942;-12321;-12321;-12321
20940;18171;20943;-12321;-12321;-12321
20941;12197;20944;-12321;-12321;-12321
20942;12900;20945;-12321;-12321;-12321
20943;12902;20946;-12321;-12321;-12321
20944;11174;20947;-12321;-12321;-12321
20945;13018;20948;-12321;-12321;-12321
20946;11889;20949;-12321;-12321;-12321
20947;18190;20950;-12321;-12321;-12321
20948;11034;20951;-12321;-12321;-12321
20949;18169;20952;-12321;-12321;-12321
20950;18188;20953;-12321;-12321;-12321
20951;14386;20954;-12321;-12321;-12321
20952;18175;20955;-12321;-12321;-12321
20953;18291;20956;-12321;-12321;-12321
20954;6995;20957;-12321;-12321;-12321
20955;7752;20958;-12321;-12321;-12321
20956;8679;20959;-12321;-12321;-12321
20957;7911;20960;-12321;-12321;-12321
20958;13176;20961;-12321;-12321;-12321
20959;18234;20962;-12321;-12321;-12321
20960;18263;20963;-12321;-12321;-12321
20961;12943;20964;-12321;-12321;-12321
20962;18231;20965;-12321;-12321;-12321
20963;7248;20966;-12321;-12321;-12321
20964;12003;20967;-12321;-12321;-12321
20965;18303;20968;-12321;-12321;-12321
20966;8090;20969;-12321;-12321;-12321
20967;18289;20970;-12321;-12321;-12321
20968;18602;20971;-12321;-12321;-12321
20969;19217;20972;-12321;-12321;-12321
20970;19372;20973;-12321;-12321;-12321
20971;18605;20974;-12321;-12321;-12321
20972;19404;20975;-12321;-12321;-12321
20973;6936;20976;-12321;-12321;-12321
20974;10716;20977;-12321;-12321;-12321
20975;10885;20978;-12321;-12321;-12321
20976;16501;20979;-12321;-12321;-12321
20977;6175;20980;-12321;-12321;-12321
20978;18227;20981;-12321;-12321;-12321
20979;13340;20982;-12321;-12321;-12321
20980;11669;20983;-12321;-12321;-12321
20981;10651;20984;-12321;-12321;-12321
20982;11891;20985;-12321;-12321;-12321
20983;8092;20986;-12321;-12321;-12321
20984;19408;20987;-12321;-12321;-12321
20985;12002;20988;-12321;-12321;-12321
20986;7836;20989;-12321;-12321;-12321
20987;9585;20990;-12321;-12321;-12321
20988;11548;20991;-12321;-12321;-12321
20989;6139;20992;-12321;-12321;-12321
20990;5689;20993;-12321;-12321;-12321
20991;15065;20994;-12321;-12321;-12321
20992;15060;20995;-12321;-12321;-12321
20993;15063;20996;-12321;-12321;-12321
20994;15062;20997;-12321;-12321;-12321
20995;13291;20998;-12321;-12321;-12321
20996;11915;20999;-12321;-12321;-12321
20997;15061;21000;-12321;-12321;-12321
20998;18260;21001;-12321;-12321;-12321
20999;18257;21002;-12321;-12321;-12321
21000;11101;21003;-12321;-12321;-12321
21001;10887;21004;-12321;-12321;-12321
21002;10968;21005;-12321;-12321;-12321
21003;9804;21006;-12321;-12321;-12321
21004;10884;21007;-12321;-12321;-12321
21005;10888;21008;-12321;-12321;-12321
21006;10889;21009;-12321;-12321;-12321
21007;10890;21010;-12321;-12321;-12321
21008;6301;21011;-12321;-12321;-12321
21009;15064;21012;-12321;-12321;-12321
21010;15066;21013;-12321;-12321;-12321
21011;12534;21014;-12321;-12321;-12321
21012;11657;21015;-12321;-12321;-12321
21013;9077;21016;-12321;-12321;-12321
21014;9848;21017;-12321;-12321;-12321
21015;8126;21018;-12321;-12321;-12321
21016;11192;21019;-12321;-12321;-12321
21017;6163;21020;-12321;-12321;-12321
21018;9742;21021;-12321;-12321;-12321
21019;9741;21022;-12321;-12321;-12321
21020;11749;21023;-12321;-12321;-12321
21021;7080;21024;-12321;-12321;-12321
21022;11739;21025;-12321;-12321;-12321
21023;12728;21026;-12321;-12321;-12321
21024;12997;21027;-12321;-12321;-12321
21025;6967;21028;-12321;-12321;-12321
21026;7031;21029;-12321;-12321;-12321
21027;11476;21030;-12321;-12321;-12321
21028;10798;21031;-12321;-12321;-12321
21029;12535;21032;-12321;-12321;-12321
21030;12328;21033;-12321;-12321;-12321
21031;10519;21034;-12321;-12321;-12321
21032;9806;21035;-12321;-12321;-12321
21033;5677;21036;-12321;-12321;-12321
21034;12200;21037;-12321;-12321;-12321
21035;9823;21038;-12321;-12321;-12321
21036;12169;21039;-12321;-12321;-12321
21037;5882;21040;-12321;-12321;-12321
21038;12678;21041;-12321;-12321;-12321
21039;12159;21042;-12321;-12321;-12321
21040;15827;21043;-12321;-12321;-12321
21041;14304;21044;-12321;-12321;-12321
21042;8427;21045;-12321;-12321;-12321
21043;9392;21046;-12321;-12321;-12321
21044;8474;21047;-12321;-12321;-12321
21045;11460;21048;-12321;-12321;-12321
21046;13402;21049;-12321;-12321;-12321
21047;12922;21050;-12321;-12321;-12321
21048;12967;21051;-12321;-12321;-12321
21049;14567;21052;-12321;-12321;-12321
21050;9934;21053;-12321;-12321;-12321
21051;13408;21054;-12321;-12321;-12321
21052;9202;21055;-12321;-12321;-12321
21053;14470;21056;-12321;-12321;-12321
21054;15223;21057;-12321;-12321;-12321
21055;14226;21058;-12321;-12321;-12321
21056;13748;21059;-12321;-12321;-12321
21057;13117;21060;-12321;-12321;-12321
21058;14234;21061;-12321;-12321;-12321
21059;12982;21062;-12321;-12321;-12321
21060;7507;21063;-12321;-12321;-12321
21061;16031;21064;-12321;-12321;-12321
21062;14402;21065;-12321;-12321;-12321
21063;15268;21066;-12321;-12321;-12321
21064;13089;21067;-12321;-12321;-12321
21065;15630;21068;-12321;-12321;-12321
21066;15628;21069;-12321;-12321;-12321
21067;14434;21070;-12321;-12321;-12321
21068;15265;21071;-12321;-12321;-12321
21069;11492;21072;-12321;-12321;-12321
21070;19398;21073;-12321;-12321;-12321
21071;11585;21074;-12321;-12321;-12321
21072;14130;21075;-12321;-12321;-12321
21073;11881;21076;-12321;-12321;-12321
21074;13474;21077;-12321;-12321;-12321
21075;19399;21078;-12321;-12321;-12321
21076;13771;21079;-12321;-12321;-12321
21077;19413;21080;-12321;-12321;-12321
21078;8518;21081;-12321;-12321;-12321
21079;19397;21082;-12321;-12321;-12321
21080;11586;21083;-12321;-12321;-12321
21081;10134;21084;-12321;-12321;-12321
21082;6487;21085;-12321;-12321;-12321
21083;13770;21086;-12321;-12321;-12321
21084;11924;21087;-12321;-12321;-12321
21085;19412;21088;-12321;-12321;-12321
21086;19400;21089;-12321;-12321;-12321
21087;14659;21090;-12321;-12321;-12321
21088;13397;21091;-12321;-12321;-12321
21089;16030;21092;-12321;-12321;-12321
21090;16033;21093;-12321;-12321;-12321
21091;9040;21094;-12321;-12321;-12321
21092;9949;21095;-12321;-12321;-12321
21093;7061;21096;-12321;-12321;-12321
21094;13151;21097;-12321;-12321;-12321
21095;13152;21098;-12321;-12321;-12321
21096;12283;21099;-12321;-12321;-12321
21097;12299;21100;-12321;-12321;-12321
21098;10610;21101;-12321;-12321;-12321
21099;16563;21102;-12321;-12321;-12321
21100;14232;21103;-12321;-12321;-12321
21101;8598;21104;-12321;-12321;-12321
21102;9363;21105;-12321;-12321;-12321
21103;16855;21106;-12321;-12321;-12321
21104;14305;21107;-12321;-12321;-12321
21105;10557;21108;-12321;-12321;-12321
21106;6955;21109;-12321;-12321;-12321
21107;10974;21110;-12321;-12321;-12321
21108;13435;21111;-12321;-12321;-12321
21109;10985;21112;-12321;-12321;-12321
21110;10563;21113;-12321;-12321;-12321
21111;11666;21114;-12321;-12321;-12321
21112;14023;21115;-12321;-12321;-12321
21113;14720;21116;-12321;-12321;-12321
21114;9109;21117;-12321;-12321;-12321
21115;8777;21118;-12321;-12321;-12321
21116;12559;21119;-12321;-12321;-12321
21117;8529;21120;-12321;-12321;-12321
21118;13293;21121;-12321;-12321;-12321
21119;10250;21122;-12321;-12321;-12321
21120;16853;21123;-12321;-12321;-12321
21121;13733;21124;-12321;-12321;-12321
21122;16854;21125;-12321;-12321;-12321
21123;10611;21126;-12321;-12321;-12321
21124;10505;21127;-12321;-12321;-12321
21125;13563;21128;-12321;-12321;-12321
21126;8809;21129;-12321;-12321;-12321
21127;8778;21130;-12321;-12321;-12321
21128;8776;21131;-12321;-12321;-12321
21129;14550;21132;-12321;-12321;-12321
21130;16032;21133;-12321;-12321;-12321
21131;14719;21134;-12321;-12321;-12321
21132;5519;21135;-12321;-12321;-12321
21133;11120;21136;-12321;-12321;-12321
21134;13390;21137;-12321;-12321;-12321
21135;12543;21138;-12321;-12321;-12321
21136;14969;21139;-12321;-12321;-12321
21137;12560;21140;-12321;-12321;-12321
21138;15331;21141;-12321;-12321;-12321
21139;11546;21142;-12321;-12321;-12321
21140;17817;21143;-12321;-12321;-12321
21141;10132;21144;-12321;-12321;-12321
21142;9790;21145;-12321;-12321;-12321
21143;6617;21146;-12321;-12321;-12321
21144;13838;21147;-12321;-12321;-12321
21145;19060;21148;-12321;-12321;-12321
21146;17308;21149;-12321;-12321;-12321
21147;7267;21150;-12321;-12321;-12321
21148;12949;21151;-12321;-12321;-12321
21149;9356;21152;-12321;-12321;-12321
21150;18174;21153;-12321;-12321;-12321
21151;18172;21154;-12321;-12321;-12321
21152;10601;21155;-12321;-12321;-12321
21153;13019;21156;-12321;-12321;-12321
21154;18189;21157;-12321;-12321;-12321
21155;18170;21158;-12321;-12321;-12321
21156;18187;21159;-12321;-12321;-12321
21157;18176;21160;-12321;-12321;-12321
21158;18292;21161;-12321;-12321;-12321
21159;7751;21162;-12321;-12321;-12321
21160;11859;21163;-12321;-12321;-12321
21161;7910;21164;-12321;-12321;-12321
21162;18235;21165;-12321;-12321;-12321
21163;18264;21166;-12321;-12321;-12321
21164;18232;21167;-12321;-12321;-12321
21165;9891;21168;-12321;-12321;-12321
21166;12033;21169;-12321;-12321;-12321
21167;17389;21170;-12321;-12321;-12321
21168;12210;21171;-12321;-12321;-12321
21169;18304;21172;-12321;-12321;-12321
21170;18290;21173;-12321;-12321;-12321
21171;18603;21174;-12321;-12321;-12321
21172;19218;21175;-12321;-12321;-12321
21173;19371;21176;-12321;-12321;-12321
21174;18606;21177;-12321;-12321;-12321
21175;19405;21178;-12321;-12321;-12321
21176;11823;21179;-12321;-12321;-12321
21177;10715;21180;-12321;-12321;-12321
21178;17388;21181;-12321;-12321;-12321
21179;6176;21182;-12321;-12321;-12321
21180;18228;21183;-12321;-12321;-12321
21181;6304;21184;-12321;-12321;-12321
21182;10650;21185;-12321;-12321;-12321
21183;11913;21186;-12321;-12321;-12321
21184;9244;21187;-12321;-12321;-12321
21185;8755;21188;-12321;-12321;-12321
21186;8091;21189;-12321;-12321;-12321
21187;19409;21190;-12321;-12321;-12321
21188;12019;21191;-12321;-12321;-12321
21189;7837;21192;-12321;-12321;-12321
21190;10935;21193;-12321;-12321;-12321
21191;11914;21194;-12321;-12321;-12321
21192;17391;21195;-12321;-12321;-12321
21193;18261;21196;-12321;-12321;-12321
21194;17390;21197;-12321;-12321;-12321
21195;18258;21198;-12321;-12321;-12321
21196;11100;21199;-12321;-12321;-12321
21197;10893;21200;-12321;-12321;-12321
21198;10969;21201;-12321;-12321;-12321
21199;10894;21202;-12321;-12321;-12321
21200;10891;21203;-12321;-12321;-12321
21201;10895;21204;-12321;-12321;-12321
21202;10896;21205;-12321;-12321;-12321
21203;8814;21206;-12321;-12321;-12321
21204;9376;21207;-12321;-12321;-12321
